순위,영화명,개봉일,매출액,관객수,스크린수
240,나의 사랑 나의 신부,2014-10-08,"16,636,404,305","2,141,155",629
241,범죄의 재구성,2004-04-15,0,"2,129,358", 50
242,사랑,2007-09-19,0,"2,123,815", 78
243,세븐 데이즈,2007-11-14,"38,146,000","2,120,741",297
244,굿바이 싱글,2016-06-29,"16,912,706,195","2,108,273",841
245,사생결단,2006-04-27,0,"2,104,716", 78
246,몽타주,2013-05-16,"15,002,458,500","2,095,592",540
247,색즉시공 시즌2,2007-12-12,"511,288,500","2,088,134", 89
248,명당,2018-09-19,"17,900,775,524","2,087,474","1,117"
249,내부자들: 디 오리지널,2015-12-31,"16,973,885,275","2,083,999",838
250,쩨쩨한 로맨스,2010-12-01,"15,901,620,661","2,080,574",463
251,청춘만화,2006-03-23,0,"2,066,354", 86
252,눈에는 눈 이에는 이,2008-07-31,"13,414,023,500","2,058,764",445
253,비상선언,2022-08-03,"20,926,363,328","2,058,760","1,734"
254,뷰티 인사이드,2015-08-20,"16,155,795,131","2,054,297",648
255,봉이 김선달,2016-07-06,"16,227,052,642","2,051,277",942
256,아라한 장풍대작전,2004-04-30,0,"2,050,000", 87
257,비열한 거리,2006-06-15,0,"2,047,808", 82
258,천문: 하늘에 묻는다,2019-12-26,"16,502,543,020","2,000,490","1,198"
259,시실리 2km,2004-08-13,0,"1,987,380", 36
260,육사오(6/45),2022-08-24,"19,789,607,880","1,980,492","1,159"
261,남자가 사랑할 때,2014-01-22,"14,510,222,300","1,979,311",531
262,효자동 이발사,2004-05-05,0,"1,972,377", 65
263,협상,2018-09-19,"17,032,133,166","1,967,721",919
264,가족,2004-09-03,0,"1,932,304", 44
265,애자,2009-09-09,"13,785,879,439","1,922,634",262
266,내안의 그놈,2019-01-09,"16,412,116,567","1,916,855","1,041"
267,잠복근무,2005-03-17,0,"1,914,941", 64
268,그림자 살인,2009-04-02,"12,805,808,556","1,914,779",387
269,#살아있다,2020-06-24,"15,965,329,900","1,903,703","1,882"
270,오늘의 연애,2015-01-14,"14,924,654,487","1,891,993",709
271,헤어질 결심,2022-06-29,"19,605,214,603","1,890,202","1,374"
272,글러브,2011-01-20,"13,757,574,500","1,888,100",605
273,라디오 스타,2006-09-28,0,"1,879,501", 72
274,해결사,2010-09-09,"14,063,913,437","1,873,327",524
275,코리아,2012-05-03,"13,448,848,500","1,872,681",537
276,아이들...,2011-02-17,"13,579,712,500","1,867,849",504
277,연애의 온도,2013-03-21,"13,798,864,446","1,865,195",567
278,마약왕,2018-12-19,"16,222,446,942","1,864,076","1,297"
279,구세주,2006-02-16,0,"1,858,668", 54
280,조폭마누라2-돌아온 전설,2003-09-05,,"1,858,077", 55
281,노무현입니다,2017-05-25,"14,554,935,612","1,854,867",775
282,집으로 가는 길,2013-12-11,"13,048,519,745","1,854,625",740
283,악마를 보았다,2010-08-12,"14,148,937,025","1,848,418",494
284,바람피기 좋은 날,2007-02-08,0,"1,847,875", 95
285,나의 PS 파트너,2012-12-06,"13,896,872,616","1,831,725",552
286,뺑반,2019-01-30,"15,222,811,848","1,826,714","1,285"
287,흡혈형사 나도열,2006-02-09,0,"1,824,822", 70
288,변신,2019-08-21,"15,417,922,925","1,804,112",975
289,차우,2009-07-15,"12,676,951,144","1,799,356",397
290,목포는 항구다,2004-02-20,0,"1,795,700", 32
291,강철비2: 정상회담,2020-07-29,"14,655,366,110","1,790,797","2,137"
292,아내가 결혼했다,2008-10-23,"11,995,855,000","1,788,748",414
293,여고괴담 세번째 이야기: 여우계단,2003-08-01,0,"1,784,479", 44
294,공범,2013-10-24,"12,333,110,882","1,766,285",611
295,대호,2015-12-16,"13,489,904,632","1,762,742",892
296,제보자,2014-10-02,"13,515,762,802","1,755,181",676
297,바람난 가족,2003-08-14,,"1,748,258", 32
298,거룩한 계보,2006-10-19,0,"1,744,677", 94
299,전설의 주먹,2013-04-10,"12,777,314,500","1,744,585",724
300,연애의 목적,2005-06-10,0,"1,735,977", 75
301,엽기적인 그녀,2001-07-26,0," 1,735,692",0
302,주먹이 운다(Crying Fist),2005-04-01,0,"1,728,477", 71
303,러브픽션,2012-02-29,"13,200,412,500","1,726,202",617
