순위,영화명,개봉일,매출액,관객수,스크린수
153,"나니아 연대기-사자,마녀 그리고 옷장",2005-12-29,0,2505133, 80
154,터미네이터 3,2003-07-25,0,2491354, 88
155,보스 베이비,2017-05-03,18934037704,2451919,1116
156,신비한 동물들과 그린델왈드의 범죄,2018-11-14,20816583118,2414062,1601
157,터미네이터: 다크 페이트,2019-10-30,20167141830,2410227,1315
158,테이큰,2008-04-09,15971389000,2379830,254
159,007 스카이폴,2012-10-26,17487213000,2376145,748
160,스파이더맨 2,2004-06-30,0,2367704, 72
161,스파이,2015-05-21,18417637358,2318748,665
162,모아나,2017-01-12,18055062307,2310054,953
163,테이큰 2,2012-09-27,17581098553,2308596,682
164,메이즈 러너: 데스 큐어,2018-01-17,18902873104,2299732,1090
165,맘마미아!2,2018-08-08,19607280003,2293836,750
166,분노의 질주: 더 얼티메이트,2021-05-19,22059658060,2292415,2297
167,호빗: 스마우그의 폐허,2013-12-12,17850613316,2282744,811
168,나잇&데이,2010-06-24,17054262425,2282191,501
169,미니언즈2,2022-07-20,21997834672,2268733,1394
170,컨저링,2013-09-17,16353225777,2262758,553
171,슈렉 포에버,2010-07-01,23178925617,2261356,561
172,이글 아이,2008-10-09,14577167667,2258369,330
173,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,18906246428,2256913,1709
174,레디 플레이어 원,2018-03-28,19933108071,2254430,1079
175,배틀쉽,2012-04-11,16545921500,2241687,736
176,매트릭스3 레볼루션,2003-11-05,0,2240000, 112
177,셜록홈즈 : 그림자 게임,2011-12-21,16670913500,2239156,370
178,어거스트 러쉬,2007-11-29,,2218573, 68
179,나는 전설이다,2007-12-12,,2215883, 127
180,포세이돈,2006-05-31,0,2214600, 89
181,셜록 홈즈,2009-12-23,16207513113,2207751,377
182,007 퀀텀 오브 솔러스,2008-11-05,14366688333,2201300,518
183,이상한 나라의 앨리스,2010-03-04,20661000236,2182365,401
184,맨 오브 스틸,2013-06-13,17092964063,2182227,998
185,로건,2017-03-01,18391060223,2169109,954
186,원더 우먼,2017-05-31,17468588886,2165401,1034
187,극장판 귀멸의 칼날: 무한열차편,2021-01-27,20656041700,2151861,380
188,겟 아웃,2017-05-17,17431570075,2138146,945
189,베놈 2: 렛 데어 비 카니지,2021-10-13,21116442890,2123652,1998
190,이클립스,2010-07-07,15192541723,2105050,535
191,엑스맨 : 최후의 전쟁,2006-06-15,0,2096180, 112
192,논스톱,2014-02-27,16066174940,2084457,582
193,장화신은 고양이,2012-01-12,17601188500,2080154,593
194,인투 더 스톰,2014-08-28,16155930332,2078492,585
195,본 얼티메이텀,2007-09-12,0,2052800, 69
196,혹성탈출: 종의 전쟁,2017-08-15,16854482778,2051315,1017
197,소울,2021-01-20,19034164180,2048137,2018
198,블랙 팬서: 와칸다 포에버,2022-11-09,21481191293,2032209,2571
199,노아,2014-03-20,15514083500,2026574,952
200,캐리비안의 해적 : 블랙펄의 저주,2003-09-05,0,2010460, 57
201,레버넌트: 죽음에서 돌아온 자,2016-01-14,16111255130,2007657,967
202,오페라의 유령,2004-12-08,0,2006880, 71
203,테이큰 3,2015-01-01,16102014000,2006561,616
204,페르시아의 왕자: 시간의 모래,2010-05-27,14717552534,2003533,570
205,박물관이 살아있다 2,2009-06-04,12591000149,2002526,569
206,테넷,2020-08-26,18464298170,1998987,2228
207,크루엘라,2021-05-26,19252879640,1983397,1184
208,루시,2014-09-03,16468076039,1974893,641
209,타이타닉,1998-02-20,0," 1,971,780",0
210,알리타: 배틀 엔젤,2019-02-05,18569763667,1951889,1043
211,뉴 문,2009-12-02,13988362067,1949027,532
212,천사와 악마,2009-05-14,12734649711,1936321,558
213,애나벨 : 인형의 주인,2017-08-10,15526858738,1934192,1006
214,컨저링 2,2016-06-09,15759374229,1928605,635
215,터보,2013-07-25,13113579000,1923748,634
216,영웅,2003-01-24,0,1910000, 47
217,수어사이드 스쿼드,2016-08-03,15873106188,1898121,823
218,러브 액츄얼리,2003-12-05,0,1887000, 41
219,퍼시 잭슨과 번개 도둑,2010-02-11,13372357257,1877226,353
220,"색, 계",2007-11-08,0,1866900, 69
221,지.아이.조 2,2013-03-28,14457048500,1855917,766
222,콘스탄틴,2005-02-08,0,1845000, 59
223,007 스펙터,2015-11-11,14302132030,1820842,1105
224,캐치 미 이프 유 캔,2003-01-24,0,1807612, 44
225,작전명 발키리,2009-01-22,11972135869,1798205,372
226,분노의 질주: 더 맥시멈,2013-05-22,13203523042,1790457,656
227,저스티스 리그,2017-11-15,14629692795,1786386,1308
228,"아이, 로봇",2004-07-30,0,1777470, 49
229,벤자민 버튼의 시간은 거꾸로 간다,2009-02-12,11603912005,1767051,313
230,수퍼맨 리턴즈,2006-06-28,0,1764758, 96
231,나를 찾아줘,2014-10-23,14017716731,1764233,658
232,걸리버 여행기,2011-01-27,16441355500,1762070,513
233,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,13919424723,1758891,1453
234,내셔널 트레져:비밀의 책,2007-12-19,,1756319, 76
235,이미테이션 게임,2015-02-17,13655718120,1743936,541
236,샹치와 텐 링즈의 전설,2021-09-01,17715109720,1740868,1784
237,악마는 프라다를 입는다,2006-10-25,0,1730719, 66
238,씽,2016-12-21,13265525389,1730688,795
239,스타워즈 에피소드3 - 시스의복수,2005-05-26,0,1722800, 90
240,킬러의 보디가드,2017-08-30,14020395800,1721757,482
241,언터처블: 1%의 우정,2012-03-22,12733256000,1720052,454
242,샌 안드레아스,2015-06-03,14433931152,1716306,847
243,쥬만지: 새로운 세계,2018-01-03,13835919864,1711246,791
244,토르: 천둥의 신,2011-04-28,15985407000,1694529,496
245,콩: 스컬 아일랜드,2017-03-08,13990563383,1689717,984
246,점퍼,2008-02-14,10999769000,1685405,353
247,23 아이덴티티,2017-02-22,13609456135,1675798,952
248,알렉산더,2004-12-31,0,1671576, 71
249,마다가스카의 펭귄,2014-12-31,12498978959,1661230,615
250,아이스 에이지 4: 대륙 이동설,2012-07-25,12291809704,1648070,501
